Year,Demo,Vers,EZ E,PPS ,MOOI
2015,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0
2018,5981146.0,0.0,2805605.0,0.0,0.0
2019,6240851.0,0.0,1517963.0,0.0,0.0
2020,38760734.0,2610701.0,2370063.0,974716.0,0.0
2021,16120176.0,18973802.0,2619693.0,0.0,3434469.0
2022,19789182.0,10373696.0,1773196.0,620000.0,0.0
2023,13522945.0,7216058.0,2413113.0,6581862.0,0.0
