Year,6. Circulair,Duurzaam grondstoffengebruik,Energie en Industrie,Directe effecten aan de schoorsteen (scope 1),Transitieagenda Kunststoffen
2015,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,7797116.0,0.0,0.0
2019,3978073.0,0.0,397082.0,0.0,1865674.0
2020,31303054.0,0.0,1463784.0,0.0,4414636.0
2021,18027532.0,18973802.0,0.0,0.0,319165.0
2022,19075390.0,10650341.0,620000.0,771651.0,383838.0
2023,0.0,8788167.0,6581862.0,13522945.0,0.0
