Year,Plastic Recycling Group B.V.,SABIC Plastic Energy Advanced Recycling B.V.,InSus B .V.,PTC Kampen B.V.,Prezero Nederland Noord 3 B.V.
2015,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0
2020,0.0,12000000.0,11784638.0,0.0,0.0
2021,0.0,0.0,0.0,10563700.0,180489.0
2022,0.0,0.0,0.0,0.0,10276557.0
2023,13193347.0,0.0,0.0,0.0,0.0
