Demo,EZ E,MOOI,PPS ,Vers
0.0,1067443.0,0.0,820022.0,0.0
89845270.0,15858324.0,3434469.0,7960556.0,35145185.0
25569764.0,959767.0,0.0,0.0,4029072.0
