Year,Recycling van afval,Recycling en hergebruik van afval,3 Circulariteit,Overige CO2-reducerende maatregelen,Circulaire kunststoffen
2015,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,7797116.0,0.0,0.0
2019,3867558.0,0.0,393344.0,0.0,110515.0
2020,29956309.0,0.0,1463784.0,0.0,1346745.0
2021,12753307.0,18973802.0,0.0,0.0,5274225.0
2022,18253094.0,10373696.0,620000.0,0.0,1098941.0
2023,0.0,7216058.0,6581862.0,13193347.0,1363620.0
