Year,38,82,86,94,161,219,TOPICS_1_SUM,TOPICS_2_SUM
2015,3,0,6,0,0,0,9,0
2016,5,0,1,0,5,0,11,0
2017,6,6,3,0,5,0,14,6
2018,6,4,7,0,1,0,14,4
2019,11,2,10,8,5,0,26,10
2020,8,6,7,6,8,1,23,13
2021,8,4,9,10,7,3,24,17
2022,10,3,4,12,7,0,21,15
2023,7,9,13,13,8,7,28,29
