Year,6,53,71,88,210,290,296,367
2015,2,4,2,5,0,4,2,2
2016,6,8,3,10,2,2,4,1
2017,9,7,6,8,2,0,3,3
2018,13,13,3,4,1,1,10,1
2019,19,12,5,6,2,1,3,6
2020,29,12,14,4,3,2,8,2
2021,34,13,13,2,6,2,2,4
2022,32,19,8,8,7,3,3,5
2023,22,11,7,4,0,3,4,14
