2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0,0,0,0,0,0,3,8,7,4,4,1,2,3,1,5
0,0,0,0,0,0,0,4,4,7,8,11,8,11,11,8,5
0,0,0,0,0,0,1,0,1,1,0,4,2,1,0,4,0
0,0,0,0,0,0,0,0,3,6,3,5,6,10,5,4,5
0,0,0,1,0,0,0,0,6,5,2,2,5,7,11,8,1
0,0,0,0,0,0,1,0,2,2,0,0,0,1,3,0,1
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,2,2,7,1,7,2,0,4,0
