2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,1,1,0,3,2,2,2,1,0,1,2,0,4,1,1
0,0,0,0,0,0,0,0,4,0,5,1,4,2,8,2,5
0,0,0,4,1,2,0,2,0,2,1,2,0,2,4,8,1
1,0,0,1,1,0,0,2,0,0,0,0,3,2,2,2,2
2,0,0,2,2,0,1,1,0,3,5,7,2,6,8,3,4
1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,2,3,1,2,2,0,1,1,2,2,3,1,2
1,2,0,0,0,1,0,2,2,1,3,2,1,0,3,0,1
